feature,importance
resp_fuids_FqofHk3JFTp47UEk4c,2.7659991963369198e-08
resp_fuids_Fy0iKW3WelTALkJte1,2.764105633060525e-08
resp_fuids_FAOaUM1VQzkWvmHx9,2.7465766634240927e-08
resp_fuids_FthqYR1kui9JnzrJol,2.6918661982571168e-08
resp_fuids_FGyebc44nelmyz4N9g,2.6614692232839753e-08
resp_fuids_FTjce41L0t4zlKWRgk,2.442656358790805e-08
resp_fuids_FF1MVJ2WeIFDmoMjS2,1.4673899769590936e-08
history_ShADgacfF,1.3749181344473752e-08
resp_fuids_Fhp0Fr2CKT1Fe9xoIg,1.2346885370875852e-08
resp_fuids_Fr1eLP1hCVINsvzxE3,1.119101870974277e-08
history_SAhDacfgF,1.0325597502856132e-08
history_SAhDacgfF,8.393389095832035e-09
resp_fuids_FstO9G40ZkuUDAIIn8,7.664732120864463e-09
resp_fuids_Fz7clr4wjeihC4U2M,6.6098579302943496e-09
resp_fuids_F10nUj3Zki3p4bKj58,6.5760235174973065e-09
resp_fuids_FZ6n1J1dETbw6KWXF1,6.032965850496361e-09
resp_fuids_FLhy0n13gACh3CNhqj,4.774601799480929e-09
resp_fuids_FIIc1r3e8YGFmHqKP1,4.5305660439690005e-09
resp_fuids_FJ914p4GQJytr0zMV2,4.517146571767982e-09
history_ShADacfgGF,4.262016421759772e-09
resp_fuids_FjOly6IuLpmocOxGa,4.211918853315649e-09
resp_fuids_FCYGDqp1SWE41HbV4,3.5227482014058364e-09
resp_fuids_FCqMGE2ZqH5oARnLLd,3.462017586194236e-09
resp_fuids_FrYlMH1nRqK3G9e3xh,3.1629535305451574e-09
resp_fuids_FMFaJb4X2dE1HBps8b,3.152126553326991e-09
resp_fuids_FggCMC3biNbu18SUYb,2.944913349896615e-09
history_ShAaGDgcfR,2.8379833041193416e-09
resp_fuids_Fj6zla1LFmcoxHCOud,2.5068361455906774e-09
history_^hSADacdfR,2.494332301125269e-09
orig_fuids_FYhbOx44PqtIy3WL4i,2.0829168871867936e-09
resp_fuids_FOgYAZ1s3NhwDdZ474,1.952448975185125e-09
history_ShADacgfGF,1.7801702197028995e-09
resp_fuids_F0YSjF2SwK9SzsFaj,1.4984466788405108e-09
orig_fuids_FnYCfP2UHfv4Skaix,1.3644495584444596e-09
resp_fuids_FubSTD1SYUzbKDVBFa,1.3601095575027643e-09
resp_fuids_FjKvQj1CRICsyimkme,1.1005739929483484e-09
resp_fuids_FkO1XOATtN8H5hV43,1.0071324133667024e-09
history_ShADaFcR,9.344590890800343e-10
history_ShADTFaTcdRf,8.238618296720027e-10
resp_fuids_FSI09YCDQNrdPcb6k,7.949079300816847e-10
resp_fuids_FmYmd63WZF7MR5o734,7.769633235875491e-10
history_ShADTaFRc,7.390859416152719e-10
history_ShADTaFRcdf,6.707000874900091e-10
resp_fuids_FbAeDm2systyyRqnBg,6.523744674032991e-10
resp_fuids_F3D2kM1pHvJF6EXm5f,5.210510777701733e-10
resp_fuids_FbpL5T27aZSEnvig6f,5.011740295083342e-10
resp_fuids_FWDJb4AsLAGrg6wg6,4.877169060792247e-10
resp_fuids_FtxSzx2wETO3gRzUsg,4.813815375455656e-10
resp_fuids_FCREq41tWm4WdtdfOl,4.3548521309646245e-10
resp_fuids_Fd4Fp53ts8AHg9kcb1,4.3543146197764037e-10
orig_fuids_FQtxDx4Ek2HDa4Yl4,3.736301429812817e-10
resp_fuids_FLfZm5alUbBpTpmsa,3.329351942810859e-10
history_ShADTFdfR,3.101943866914514e-10
resp_fuids_Fsryji3MHtXjxBDZDg,2.5272566612118106e-10
resp_fuids_Fs4Cmo48khYKisgCn5,2.2166410742656984e-10
resp_fuids_FflAhe3xOQ5V5L2Za,1.9263533330020226e-10
history_ShADagcfF,1.7140448724863398e-10
resp_fuids_FicUt4DmHBLHSxRxf,1.7033115083395744e-10
resp_fuids_F2a08I16Km6y0phWFb,1.5013886318540835e-10
history_ShADTFRcdf,1.3993620421491477e-10
history_ShADTFacRf,1.2667408948261937e-10
resp_fuids_FcRusB3vRsSWDAWLV6,1.062179927035067e-10
history_ShADaFcdRf,9.571911352186955e-11
history_ShADaFRcdf,7.612641061996216e-11
history_SAhDacgdfR,7.03277709048446e-11
orig_fuids_Fbwka62VGZ1zxzMTAk,6.138416056677123e-11
resp_fuids_FIMgs63vED9qO0wNK2,5.96146706586533e-11
resp_fuids_FR4lkc4QZDxGBTrm96,5.1628760920259875e-11
resp_fuids_FizYuEkQpPGe0S702,5.033362916311236e-11
history_ShADTFacRd,4.991914748871881e-11
resp_fuids_F4Gxxf3JxyFbgDQxll,3.5200486095290936e-11
orig_fuids_FEcflJjVt59cnmbAe,3.341474936799829e-11
orig_fuids_FKYdIl3SDC8rPDi9G6,3.2260553130032214e-11
